title,link,price
"엑토 레트로 팝 미니 블루투스 키보드, BTK-03, 퍼플",https://www.coupang.com/vp/products/1731640548?itemId=541938579&vendorItemId=4489328527,24500
"커세어 K70 RGB TKL 챔피언 시리즈 기계식 키보드 저소음 적축, 텐키리스",https://www.coupang.com/vp/products/5294517630?itemId=7624097445&vendorItemId=74915874502,179000
"커세어 K70 RGB MK2 청축 기계식 키보드, RGP0057, 혼합 색상",https://www.coupang.com/vp/products/144973236?itemId=420495579&vendorItemId=4034190102,218970
"HP 게이밍 기계식 유선 키보드, HP GK400F, 적축",https://www.coupang.com/vp/products/1418825697?itemId=2456348532&vendorItemId=70449895928,27500
지클릭커 G3 Plus 레인보우 LED 키보드,https://www.coupang.com/vp/products/312827560?itemId=988441971&vendorItemId=5412538155,8410
"COX 교체축 레인보우 LED 게이밍 기계식 키보드 갈축, CK420, 화이트",https://www.coupang.com/vp/products/118966766?itemId=354697921&vendorItemId=3864107839,34560
"레이저 Blackwidow KR 키보드, RZ03-0286, 혼합 색상",https://www.coupang.com/vp/products/241203685?itemId=767011667&vendorItemId=4935728118,108900
"씽크웨이 토체프 콜라보 체리 유선키보드 저소음적축, TCF, 다크그레이",https://www.coupang.com/vp/products/1280379698?itemId=2288316226&vendorItemId=70285389698,147250
"씽크웨이 토체티 텐키리스 D&T 콜라보 체리키보드 저소음흑축, TCT, 다크그레이",https://www.coupang.com/vp/products/1275080489?itemId=2281001451&vendorItemId=70278123849,146250
"앱코 LED 기계식 게이밍 콤보 키보드 마우스 세트, GKM570, 화이트",https://www.coupang.com/vp/products/1477726678?itemId=2530152090&vendorItemId=70522941879,45650
"아이리버 2.4GHz+ 블루투스 무소음 키보드 마우스 세트, EQwear-MVS7000, 화이트",https://www.coupang.com/vp/products/2082614045?itemId=3537769762&vendorItemId=71523762653,47250
"한성컴퓨터 Gtune Rainbow 기계식 키보드, MKF30S, 화이트(적축)",https://www.coupang.com/vp/products/27020550?itemId=104368850&vendorItemId=3199387892,37150
"앱코 조약돌 레트로 키캡 축교환 레인보우 LED 게이밍 기계식 유선 키보드 청축, K840, 화이트",https://www.coupang.com/vp/products/22688851?itemId=88167312&vendorItemId=3151177917,38850
"CHERRY MX BOARD 3.0S 기계식 키보드 저소음 적축 + 높이조절 고무패드 2p, G80-3870, 블랙",https://www.coupang.com/vp/products/4729590687?itemId=5991617524&vendorItemId=73289425728,101250
"로이체 무선 키보드 마우스 세트, RX-3100, 화이트",https://www.coupang.com/vp/products/13300590?itemId=55554983&vendorItemId=3222992033,14900
